煙草	2057
日本人	2056
周囲	2056
お母さん	2052
尺	2051
大事	2050
知識	2048
沢山	2047
嘘	2046
やつ	2044
末	2040
ひく	2034
いっしょ	2030
ついに	2029
追う	2029
矢	2028
一切	2028
加える	2025
なする	2020
半分	2011
大学	2010
観念	2010
いったい	2008
下りる	2008
聞こえる	2006
座敷	2004
老	2002
西	2002
席	2002
仲間	2002
なんぞ	2002
結局	2002
自動車	1999
学生	1998
まわる	1997
どうぞ	1997
同	1992
往来	1991
払う	1989
活動	1987
学者	1986
候	1983
○	1981
底本	1979
きる	1975
駈ける	1975
かの	1974
変化	1972
丁度	1972
運ぶ	1968
連中	1965
あいだ	1965
かれる	1963
電車	1961
不幸	1959
張る	1957
宮	1952
性格	1952
汽車	1952
露	1951
帰り	1950
おや	1949
微笑	1948
外国	1947
期	1945
学問	1943
派	1942
斬る	1939
東	1935
女性	1934
いいえ	1934
屋根	1932
遊ぶ	1930
守	1929
次第に	1929
式	1927
なれる	1926
努力	1921
兄さん	1920
一層	1920
存じる	1918
際	1918
玉	1917
技術	1915
現代	1915
付く	1911
容易	1905
蛇	1902
うる	1900
いきなり	1899
故	1897
たった	1896
探偵	1895
げ	1892
べ	1891
隊	1890
岩	1886
へん	1885
思える	1885
作者	1884
探す	1884
を以て	1882
やや	1881
理論	1880
こんなに	1880
淋しい	1879
直ぐ	1879
百姓	1878
丸	1878
いかに	1878
線	1877
番	1876
太い	1875
ところで	1874
南	1873
就く	1872
類	1871
竹	1870
機	1868
友人	1866
おお	1866
工場	1863
原因	1862
そっと	1861
十分	1860
ほんとうに	1859
軍	1858
服	1856
けど	1855
三つ	1854
いただく	1851
先ず	1850
包む	1849
全	1848
全部	1847
細い	1847
お話	1844
国民	1842
〕	1841
いわゆる	1841
解る	1840
感ずる	1839
元気	1838
兵衛	1837
大切	1836
隅	1835
少ない	1835
薬	1834
茶	1833
覗く	1833
〔	1831
ようやく	1829
機会	1829
例えば	1824
片	1824
渡す	1824
併	1824
ほんとに	1823
玄関	1823
握る	1821
役	1817
そうした	1816
登る	1815
巻	1813
もはや	1811
危険	1810
武士	1809
調べる	1809
真実	1808
経済	1808
星	1808
舞台	1808
随分	1806
つくる	1806
唇	1803
鉄	1800
やめる	1798
家庭	1796
駄目	1795
院	1795
文字	1794
特別	1794
こうした	1793
明	1792
筋	1791
たいへん	1790
または	1790
細君	1789
一生	1789
おかしい	1789
勝手	1788
近く	1787
一同	1782
商売	1779
見つめる	1775
電話	1774
遊び	1774
入口	1772
唯	1771
たずねる	1771
煙	1770
厭	1767
人形	1766
侍	1766
ともかく	1766
宗	1765
ごと	1764
見つける	1764
ちゃんと	1763
次第	1763
しっかり	1762
遠く	1759
筆	1755
切れる	1754
それでは	1751
世話	1751
虫	1749
うむ	1748
資本	1745
個人	1745
